Chanel name,starting grid number,Ending grid number,Starting Hash Id,Ending Hash Id
Mutwala canal,1488,391,100021,100024
Wellawaththa canal,1212,268,100024,100024
Dehiwala canal,4631,464,100020,100024
Sebesthian canal,369,1868,100021,100021
Dematagada canal,5145,1605,100020,100022
Mahawaththa ele,2608,2876,100020,100020
Heen ele,2875,2324,100020,100020
Thalangama ela,10067,6582,100020,100020
Ambathale ela,10522,10109,100023,100023
Selalihini ela,9330,6795,100023,100023
Kiththampahuwa ela 1,7806,3050,100023,100023
Kiththampahuwa ela 2,6621,3958,100023,100023
Canal 1,7451,5167,100020,100020
Canal 2,2872,4273,100020,100020
Canal 3,1846,2474,100022,100022
Canal 4,1112,2077,100020,100020
River section 1,37814,26099,100064,100064
River section 2,25922,1174,100048,100066
